experement,ARPD100,ARPD50,ATK100,ATK50
BER,44.19015517709465,33.822018411697876,55.2666533390681,55.26665333906809
BERZ,4.567794178615989,3.7168858649276495,116.00498882134757,116.00498882134755
BIR,45.99690863889201,36.13293355226444,158.00781416893003,158.00781416893005
BIRZ,4.454317815029091,3.432013268964613,275.64490847587587,275.64490847587587
BTR,47.970525713775366,38.527317990105374,1.0243775844573977,1.0243775844573975
BTRZ,4.695859047305018,3.803821206730712,47.33931296666463,47.33931296666463
FER,50.06445478128428,40.00482636778615,1.3007618506749472,1.3007618506749472
FERZ,4.717295373426015,3.7782950845415537,59.46191665331523,59.46191665331523
FIR,48.872748346412585,39.78089831320312,26.8381044626236,26.838104462623598
FIRZ,4.712243120796617,3.7240231971564057,166.7576253414154,166.7576253414154
FTR,49.37680088285586,39.96281042588668,0.1699773708979289,0.1699773708979289
FTRZ,4.728584881391611,3.822780238218405,45.3091076374054,45.3091076374054
