file,sct,bs,mbs,RPD,Tk,TK
100_20_01,417997,1792110.0,1858859,3.7246039584623714,,173.28569173812866
100_20_02,418362,1810660.0,1871393,3.3541912893640995,,189.91655611991882
100_20_03,416100,1679880.0,1753994,4.4118627521013405,,234.49930667877197
100_20_04,408955,1943480.0,2013450,3.6002428633173484,,178.24205493927002
100_20_05,418120,1539090.0,1618240,5.142649227790447,,175.39987969398499
100_20_06,415742,1660530.0,1722883,3.7550059318410383,,174.77023029327393
100_20_07,422288,1783580.0,1865364,4.5853844514964255,,193.29722356796265
100_20_08,426275,1754470.0,1832292,4.43564153277058,,178.04806113243103
100_20_09,422909,1852180.0,1945856,5.057607791899275,,160.87918305397034
100_20_10,409429,1660070.0,1736166,4.583903088423981,,173.3077483177185
100_20_11,415805,1816300.0,1910543,5.188735341078017,,158.9422266483307
100_20_12,410071,1711620.0,1772524,3.5582664376438693,,160.199467420578
100_20_13,413239,1712830.0,1787316,4.348709445771034,,152.82045722007751
100_20_14,427023,1709350.0,1786278,4.500424137830169,,184.5089144706726
100_20_15,418613,1449140.0,1513014,4.4077176808313885,,119.9060730934143
100_20_16,412472,1847320.0,1932868,4.630924799168525,,99.97034931182861
100_20_17,412359,1777650.0,1858481,4.547070570697269,,121.36446022987366
100_20_18,424244,1824010.0,1916836,5.089116835982259,,107.41194653511047
100_20_19,410592,1675710.0,1761263,5.105477678118528,,103.25806903839111
100_20_20,414486,1801770.0,1874399,4.030980646808416,,129.22554922103882
100_20_21,417126,1709120.0,1796098,5.089051675716158,,123.1369194984436
100_20_22,423449,1740800.0,1819285,4.508559283088236,,132.05598306655884
100_20_23,410035,1776600.0,1872127,5.376955983338962,,117.41074180603027
100_20_24,412605,1692610.0,1778784,5.091190528237456,,113.45105719566345
100_20_25,406763,1713800.0,1786075,4.217236550355933,,142.9171004295349
100_20_26,416580,1565920.0,1643217,4.936203637478288,,151.17460989952087
100_20_27,413622,1862160.0,1955281,5.00069811401813,,134.13661789894104
100_20_28,414361,1732590.0,1828430,5.531602975891584,,125.27509212493896
100_20_29,421258,1992230.0,2090325,4.92387927096771,,119.99004197120667
100_20_30,405914,1770450.0,1838172,3.825129204439549,,121.5855164527893
50_20_01,134673,595260.0,615427,3.387931324127272,,12.56641674041748
50_20_02,137172,622342.0,648739,4.241558499988752,,8.854334354400635
50_20_03,133742,592745.0,611086,3.0942479481058465,,8.901211023330688
50_20_04,130977,666621.0,689435,3.4223344299084486,,8.229008913040161
50_20_05,135110,653748.0,694175,6.183881250879542,,8.218072891235352
50_20_06,141621,643294.0,673105,4.634117526356533,,7.338420391082764
50_20_07,133810,565375.0,586795,3.7886358611541016,,11.247840404510498
50_20_08,137234,532097.0,544751,2.3781378207356934,,10.252601861953735
50_20_09,132778,572797.0,592671,3.4696410770307806,,10.868949174880981
50_20_10,133155,600785.0,617204,2.7329244238787584,,9.867629766464233
50_20_11,135276,604272.0,620892,2.7504170307411235,,7.99862265586853
50_20_12,132764,584199.0,598879,2.5128423704936163,,12.760896682739258
50_20_13,131985,551945.0,580379,5.151600250024912,,7.671496868133545
50_20_14,133575,572954.0,596104,4.040463981401649,,7.087092638015747
50_20_15,139730,595368.0,616958,3.626328590048508,,9.514570713043213
50_20_16,136271,551243.0,566046,2.6853855740571757,,13.994598865509033
50_20_17,129941,647036.0,662384,2.3720473049413013,,10.380258321762085
50_20_18,138953,630186.0,648023,2.8304341892711036,,11.773537397384644
50_20_19,133399,465508.0,479139,2.9281988709109186,,12.222333431243896
50_20_20,139270,565240.0,583985,3.316290425306065,,11.548134565353394
50_20_21,137135,617905.0,645356,4.442592307879044,,14.786480903625488
50_20_22,137008,642666.0,670770,4.373033581985044,,8.88924527168274
50_20_23,137067,602536.0,622566,3.324282698461172,,8.99795150756836
50_20_24,134632,552363.0,571234,3.416412757552551,,11.531183958053589
50_20_25,132478,587942.0,610840,3.8946018484816527,,10.61463189125061
50_20_26,132066,600296.0,619697,3.2319055932406684,,10.065101623535156
50_20_27,134316,563816.0,581041,3.0550747052229807,,11.677791357040405
50_20_28,136234,549809.0,564687,2.706030639731252,,9.738974571228027
50_20_29,138139,545184.0,567399,4.074771086458884,,7.965709447860718
50_20_30,131202,509210.0,528182,3.725771292786866,,7.8819739818573
